Image_ID,Image_Width,Image_Height,Total_Attention_Intensity,Max_Saliency_Peak,Attention_Density,Text_Count,Text_Area_Ratio,Attention_Ratio,Avg_Text_Saliency,Clutter_Index,Dominant_Quadrant
956,720,720,13338289.0,188.0,70572.96,17,0.0922,3.23418,69.001,4.059,Q4_BottomRight
566,720,720,11384468.0,226.0,50151.84,3,0.05891,4.25774,78.448,26.149,Q1_TopLeft
950,720,720,8813569.0,214.0,40993.34,6,0.06802,2.41161,37.409,6.235,Q3_BottomLeft
663,720,720,10029964.0,219.0,45590.75,19,0.21125,3.85219,46.509,2.448,Q2_TopRight
36,720,720,8204120.0,223.0,36625.54,2,0.01051,3.64628,56.144,28.072,Q4_BottomRight
903,720,720,9188871.0,203.0,45043.49,19,0.08483,3.36853,49.719,2.617,Q4_BottomRight
690,720,720,13189417.0,196.0,66951.36,12,0.21095,3.28138,56.362,4.697,Q4_BottomRight
17,720,720,13374599.0,237.0,56195.79,3,0.14883,2.68682,55.409,18.47,Q3_BottomLeft
661,720,720,11999682.0,210.0,56870.53,18,0.18778,4.81684,64.948,3.608,Q4_BottomRight
905,720,720,13399674.0,214.0,62324.07,4,0.02742,5.90144,134.469,33.617,Q3_BottomLeft
86,720,720,9205798.0,209.0,43837.13,25,0.26598,3.22035,35.954,1.438,Q3_BottomLeft
933,720,720,8575968.0,196.0,43532.83,10,0.118,1.81043,27.336,2.734,Q4_BottomRight
600,720,720,11343446.0,221.0,51096.6,2,0.02886,6.78289,127.193,63.596,Q1_TopLeft
80,720,720,10350704.0,207.0,49763.0,23,0.17782,3.12682,45.3,1.97,Q3_BottomLeft
695,720,720,9373007.0,212.0,44004.73,21,0.25702,5.53146,46.202,2.2,Q1_TopLeft
922,720,720,8926722.0,216.0,41136.97,12,0.14728,4.0784,48.321,4.027,Q1_TopLeft
926,720,720,11196151.0,229.0,48678.92,5,0.04431,5.3245,96.504,19.301,Q1_TopLeft
841,720,720,9679580.0,240.0,40164.23,3,0.10697,14.11991,109.696,36.565,Q2_TopRight
258,720,720,10615521.0,242.0,43685.27,2,0.02789,10.59342,171.137,85.568,Q1_TopLeft
160,720,720,10835347.0,208.0,51843.77,23,0.26145,3.64563,45.043,1.958,Q4_BottomRight
560,720,720,11256625.0,210.0,53348.93,8,0.22723,3.48118,48.338,6.042,Q3_BottomLeft
863,720,720,12994142.0,226.0,57242.92,10,0.20985,16.63577,97.401,9.74,Q3_BottomLeft
7,720,720,8542632.0,233.0,36506.97,2,0.01674,6.52724,98.452,49.226,Q1_TopLeft
535,720,720,10211523.0,250.0,40683.36,1,0.00872,11.9877,215.489,215.489,Q2_TopRight
745,720,720,19442334.0,239.0,81009.73,7,0.12784,6.38746,141.857,20.265,Q2_TopRight
932,720,720,13935232.0,218.0,63631.2,3,0.03486,5.98647,137.093,45.698,Q1_TopLeft
306,720,720,8645609.0,243.0,35432.82,2,0.06304,17.19617,141.904,70.952,Q1_TopLeft
309,720,720,9003433.0,231.0,38807.9,12,0.10785,6.56042,71.226,5.936,Q2_TopRight
372,720,720,15752353.0,218.0,71928.55,9,0.15103,5.09684,95.676,10.631,Q1_TopLeft
727,720,720,10211688.0,202.0,50303.88,17,0.13482,3.6888,53.331,3.137,Q3_BottomLeft
