Image_ID,Region_Index,BBox_X,BBox_Y,BBox_W,BBox_H,Region_Area_px,Region_Area_Ratio,Region_Mean_Saliency,Region_Max_Saliency,Region_Attention_Ratio,Quadrant,Center_X,Center_Y
956,0,505,682,25,15,375,0.00072,119.76,127.0,0.00337,Q4_BottomRight,517.5,689.5
956,1,607,681,30,17,510,0.00098,33.092,65.0,0.00127,Q4_BottomRight,622.0,689.5
956,2,368,681,26,17,442,0.00085,74.081,102.0,0.00245,Q4_BottomRight,381.0,689.5
956,3,17,671,34,24,816,0.00157,3.164,15.0,0.00019,Q3_BottomLeft,34.0,683.0
956,4,630,663,51,32,1632,0.00315,3.602,31.0,0.00044,Q4_BottomRight,655.5,679.0
956,5,262,663,104,36,3744,0.00722,55.858,115.0,0.01568,Q3_BottomLeft,314.0,681.0
956,6,530,662,67,36,2412,0.00465,92.022,145.0,0.01664,Q4_BottomRight,563.5,680.0
956,7,411,662,52,34,1768,0.00341,156.857,178.0,0.02079,Q4_BottomRight,437.0,679.0
956,8,53,629,155,68,10540,0.02033,97.282,166.0,0.07687,Q3_BottomLeft,130.5,663.0
956,9,273,627,75,24,1800,0.00347,61.931,108.0,0.00836,Q3_BottomLeft,310.5,639.0
956,10,614,625,97,25,2425,0.00468,0.162,4.0,3e-05,Q4_BottomRight,662.5,637.5
956,11,523,625,76,26,1976,0.00381,97.505,161.0,0.01444,Q4_BottomRight,561.0,638.0
956,12,377,625,134,25,3350,0.00646,116.099,172.0,0.02916,Q4_BottomRight,444.0,637.5
956,13,373,585,198,26,5148,0.00993,40.861,104.0,0.01577,Q4_BottomRight,472.0,598.0
956,14,24,579,171,37,6327,0.0122,68.834,174.0,0.03265,Q3_BottomLeft,109.5,597.5
956,15,259,392,18,9,162,0.00031,40.741,57.0,0.00049,Q3_BottomLeft,268.0,396.5
956,16,75,69,112,39,4368,0.00843,26.381,103.0,0.00864,Q1_TopLeft,131.0,88.5
566,0,557,383,31,19,589,0.00114,0.0,0.0,0.0,Q4_BottomRight,572.5,392.5
566,1,62,141,193,42,8106,0.01564,145.776,226.0,0.1038,Q1_TopLeft,158.5,162.0
566,2,29,55,331,66,21846,0.04214,55.581,188.0,0.10666,Q1_TopLeft,194.5,88.0
950,0,31,670,206,33,6798,0.01311,74.732,146.0,0.05764,Q3_BottomLeft,134.0,686.5
950,1,472,657,148,54,7992,0.01542,25.306,117.0,0.02295,Q4_BottomRight,546.0,684.0
950,2,231,636,146,25,3650,0.00704,0.835,18.0,0.00035,Q3_BottomLeft,304.0,648.5
950,3,32,635,198,27,5346,0.01031,29.673,82.0,0.018,Q3_BottomLeft,131.0,648.5
950,4,568,614,135,29,3915,0.00755,114.207,136.0,0.05073,Q4_BottomRight,635.5,628.5
950,5,13,21,189,40,7560,0.01458,0.0,0.0,0.0,Q1_TopLeft,107.5,41.0
